system,topic,num_questions,exact_match,token_f1,answer_recall
closed_book,cmu,4,0.0000,0.0000,0.0000
closed_book,cmu_history,3,0.0000,0.2222,0.3333
closed_book,culture_music,2,0.5000,0.5000,0.5000
closed_book,food_events,8,0.0000,0.0000,0.0000
closed_book,general_history,8,0.2500,0.3125,0.3750
closed_book,museums,4,0.0000,0.0000,0.0000
closed_book,museums_history,1,1.0000,1.0000,1.0000
closed_book,sports,10,0.2000,0.2400,0.2333
rag_rerank,cmu,4,1.0000,1.0000,1.0000
rag_rerank,cmu_history,3,1.0000,1.0000,1.0000
rag_rerank,culture_music,2,1.0000,1.0000,1.0000
rag_rerank,food_events,8,0.7500,0.8821,0.8750
rag_rerank,general_history,8,0.7500,0.9271,0.8875
rag_rerank,museums,4,0.7500,0.7500,0.7500
rag_rerank,museums_history,1,1.0000,1.0000,1.0000
rag_rerank,sports,10,0.7000,0.7000,0.7000
rag_top5,cmu,4,1.0000,1.0000,1.0000
rag_top5,cmu_history,3,0.6667,0.8333,0.8333
rag_top5,culture_music,2,1.0000,1.0000,1.0000
rag_top5,food_events,8,0.7500,0.9026,0.9062
rag_top5,general_history,8,0.5000,0.7548,0.7375
rag_top5,museums,4,0.7500,0.7500,0.7500
rag_top5,museums_history,1,0.0000,0.0000,0.0000
rag_top5,sports,10,0.6000,0.6000,0.6000
